FUNKSFAM	N_annotations	annotation list
14914	31	14914_637001546 P07010 EMBL:X02405 EMBL:U00096 EMBL:AP009048 PIR:D22830 RefSeq:NP_416079.1 RefSeq:YP_489825.1 ProteinModelPortal:P07010 IntAct:P07010 STRING:511145.b1561 PRIDE:P07010 EnsemblBacteria:AAC74634 EnsemblBacteria:BAA15260 GeneID:12931708 GeneID:946109 KEGG:ecj:Y75_p1537 KEGG:eco:b1561 PATRIC:32118426 EchoBASE:EB1119 EcoGene:EG11129 HOGENOM:HOG000009452 OMA:VSHYRIL OrthoDB:EOG63NMN8 ProtClustDB:CLSK880013 BioCyc:EcoCyc:EG11129-MONOMER BioCyc:ECOL316407:JW1553-MONOMER PRO:PR:P07010 Genevestigator:P07010 InterPro:IPR016418 PIRSF:PIRSF004509
15960	33	15960_645351123 P77339 EMBL:U70214 EMBL:U00096 EMBL:AP009048 PIR:B64746 RefSeq:NP_414752.1 RefSeq:YP_488513.1 ProteinModelPortal:P77339 IntAct:P77339 STRING:511145.b0217 PaxDb:P77339 PRIDE:P77339 EnsemblBacteria:AAC73321 EnsemblBacteria:BAA77887 GeneID:12930764 GeneID:949009 KEGG:ecj:Y75_p0207 KEGG:eco:b0217 PATRIC:32115547 EchoBASE:EB3116 EcoGene:EG13332 eggNOG:NOG86611 HOGENOM:HOG000116945 OMA:YLCTTIF OrthoDB:EOG6ND0G3 ProtClustDB:CLSK879578 BioCyc:EcoCyc:G6101-MONOMER BioCyc:ECOL316407:JW0206-MONOMER PRO:PR:P77339 Genevestigator:P77339 GO:GO:0005886 PROSITE:PS51257
18234	15	18234_645405015 Q9L082 EMBL:AL939113 RefSeq:NP_627001.1 STRING:100226.SCO2771 EnsemblBacteria:CAB87208 GeneID:1098205 KEGG:sco:SCO2771 PATRIC:23735256 eggNOG:NOG44941 HOGENOM:HOG000019691 OMA:ADHGWAG OrthoDB:EOG6T7N8D ProtClustDB:CLSK569718 GO:GO:0016791
23622	22	23622_645663420 Q7A3D8 EMBL:BA000018 PIR:F90061 RefSeq:NP_375677.1 STRING:158879.SA2352 EnsemblBacteria:BAB43656 GeneID:1125280 KEGG:sau:SA2352 PATRIC:19577266 eggNOG:NOG25710 HOGENOM:HOG000280284 KO:K10212 OMA:HLMTINS OrthoDB:EOG62G5NH ProtClustDB:CLSK886075 BioCyc:SAUR158879:GJCB-2514-MONOMER UniPathway:UPA00029 GO:GO:0016021 GO:GO:0005886 GO:GO:0016746 GO:GO:0016117
24247	14	24247_640673118 P44058 EMBL:L42023 PIR:D64014 RefSeq:NP_439002.1 ProteinModelPortal:P44058 STRING:71421.HI0842 DNASU:949857 EnsemblBacteria:AAC22510 KEGG:hin:HI0842 PATRIC:20190339 eggNOG:COG0402 OMA:IYHNSNL OrthoDB:EOG696BT4
26035	27	26035_643023812 P64929 EMBL:AE000516 EMBL:AL123456 PIR:B70760 RefSeq:NP_216528.1 RefSeq:NP_336531.1 RefSeq:YP_006515423.1 ProteinModelPortal:P64929 STRING:83332.Rv2012 EnsemblBacteria:AAK46345 EnsemblBacteria:CCP44784 GeneID:13316814 GeneID:888927 GeneID:923367 KEGG:mtc:MT2067 KEGG:mtu:Rv2012 KEGG:mtv:RVBD_2012 PATRIC:18126308 TubercuList:Rv2012 eggNOG:COG5562 HOGENOM:HOG000220474 OMA:ISYEADF OrthoDB:EOG6716P9 ProtClustDB:CLSK791560 BioCyc:MTBCDC:MT2067-MONOMER BioCyc:MTBRV:RV2012-MONOMER
28494	16	28494_645545581 Q1W3E4 EMBL:DQ441405 ProteinModelPortal:Q1W3E4 BioCyc:MetaCyc:MONOMER-16066 GO:GO:0070069 GO:GO:0042597 GO:GO:0009055 GO:GO:0020037 GO:GO:0046872 GO:GO:0016491 InterPro:IPR009056 InterPro:IPR025710 PIRSF:PIRSF038455 SUPFAM:SSF46626 PROSITE:PS51007
31844	19	31844_643893645 P94487 EMBL:U66480 EMBL:AL009126 PIR:H69887 RefSeq:NP_389638.3 STRING:224308.BSU17560 PaxDb:P94487 DNASU:940011 EnsemblBacteria:CAB13640 GeneID:940011 KEGG:bsu:BSU17560 PATRIC:18975327 GenoList:BSU17560 eggNOG:NOG129633 HOGENOM:HOG000244488 OrthoDB:EOG62NX8T ProtClustDB:CLSK928137 BioCyc:BSUB:BSU17560-MONOMER
35611	19	35611_643902936 O31937 EMBL:AL009126 RefSeq:NP_389979.1 ProteinModelPortal:O31937 STRING:224308.BSU20960 PaxDb:O31937 EnsemblBacteria:CAB14014 GeneID:939175 KEGG:bsu:BSU20960 PATRIC:18976009 GenoList:BSU20960 eggNOG:NOG85044 OMA:CLWYLEL OrthoDB:EOG64V28K ProtClustDB:CLSK887451 BioCyc:BSUB:BSU20960-MONOMER GO:GO:0016021 GO:GO:0005886
42109	44	42109_642247726 P0CF89 EMBL:X00792 EMBL:U00096 EMBL:AP009048 PIR:F65241 RefSeq:NP_415922.1 RefSeq:NP_418704.1 RefSeq:YP_001294740.1 RefSeq:YP_489672.1 RefSeq:YP_492417.1 ProteinModelPortal:P0CF89 PRIDE:P0CF89 EnsemblBacteria:AAC74486 EnsemblBacteria:BAA15014 GeneID:12933740 GeneID:12934024 GeneID:5290948 GeneID:945968 GeneID:948815 KEGG:ecj:Y75_p1381 KEGG:ecj:Y75_p4165 KEGG:eco:b1404 KEGG:eco:b4284 EchoBASE:EB4755 EcoGene:EG40009 HOGENOM:HOG000114767 OrthoDB:EOG628F7G BioCyc:EcoCyc:G6725-MONOMER PRO:PR:P0CF89 GO:GO:0003677 GO:GO:0004803 GO:GO:0015074 GO:GO:0032196 GO:GO:0006313 InterPro:IPR001584 InterPro:IPR025246 InterPro:IPR012337 InterPro:IPR001598 Pfam:PF13936 Pfam:PF00665 SUPFAM:SSF53098 PROSITE:PS50994 PROSITE:PS01043
44325	32	44325_639312689 Q65EX3 EMBL:CP000002 EMBL:AE017333 RefSeq:YP_006714857.1 RefSeq:YP_080658.1 PDB:3OQH PDB:3OQI PDB:3OQJ PDB:3S7T PDBsum:3OQH PDBsum:3OQI PDBsum:3OQJ PDBsum:3S7T STRING:279010.BL00817 EnsemblBacteria:AAU25020 EnsemblBacteria:AAU42391 GeneID:3028664 GeneID:3100257 KEGG:bld:BLi03566 KEGG:bli:BL00817 PATRIC:18952904 eggNOG:NOG41688 HOGENOM:HOG000134701 KO:K17485 OMA:NSRFSED OrthoDB:EOG6H7FDD ProtClustDB:CLSK514417 BioCyc:BLIC279010:GJ2P-3526-MONOMER EvolutionaryTrace:Q65EX3 GO:GO:0016755 GO:GO:0046148
43981	18	43981_643894013 O31939 EMBL:AL009126 RefSeq:NP_389981.1 ProteinModelPortal:O31939 STRING:224308.BSU20980 PaxDb:O31939 EnsemblBacteria:CAB14016 GeneID:939174 KEGG:bsu:BSU20980 PATRIC:18976013 GenoList:BSU20980 eggNOG:NOG45554 HOGENOM:HOG000032201 OMA:CDESAIK OrthoDB:EOG6PP9JD ProtClustDB:CLSK887452 BioCyc:BSUB:BSU20980-MONOMER
52468	35	52468_643255205 P24900 EMBL:X62505 EMBL:AE006468 PIR:S21057 RefSeq:NP_462736.1 ProteinModelPortal:P24900 STRING:99287.STM3836 PRIDE:P24900 EnsemblBacteria:AAL22695 GeneID:1255363 KEGG:stm:STM3836 PATRIC:32386535 HOGENOM:HOG000269560 KO:K03629 OMA:DMEIGQV OrthoDB:EOG6HTP3X ProtClustDB:PRK00064 BioCyc:SENT99287:GCTI-3866-MONOMER GO:GO:0005737 GO:GO:0005524 GO:GO:0003697 GO:GO:0006281 GO:GO:0006260 GO:GO:0009432 HAMAP:MF_00365 InterPro:IPR001238 InterPro:IPR018078 InterPro:IPR027417 InterPro:IPR003395 Pfam:PF02463 SUPFAM:SSF52540 TIGRFAMs:TIGR00611 PROSITE:PS00617 PROSITE:PS00618
51567	23	51567_643221525 Q8Z862 EMBL:AL513382 EMBL:AE014613 RefSeq:NP_455384.1 RefSeq:NP_805802.1 STRING:220341.STY0889 EnsemblBacteria:AAO69651 EnsemblBacteria:CAD05296 KEGG:stt:t2039 PATRIC:18539657 eggNOG:COG0601 HOGENOM:HOG000170251 KO:K13890 OMA:MPTFWLT OrthoDB:EOG66F098 ProtClustDB:PRK15081 GO:GO:0016021 GO:GO:0005886 GO:GO:0005215 InterPro:IPR000515 Pfam:PF00528 PROSITE:PS50928
64012	22	64012_643897347 O06751 EMBL:Y09476 EMBL:AL009126 PIR:A69841 RefSeq:NP_388988.1 STRING:224308.BSU11070 PaxDb:O06751 EnsemblBacteria:CAB12947 GeneID:939348 KEGG:bsu:BSU11070 PATRIC:18973918 GenoList:BSU11070 eggNOG:NOG77682 OMA:GWGFYSK OrthoDB:EOG680X65 ProtClustDB:CLSK479269 BioCyc:BSUB:BSU11070-MONOMER GO:GO:0016021 InterPro:IPR023902 ProDom:PD034336 TIGRFAMs:TIGR04034
73741	25	73741_637002246 P76485 EMBL:U00096 EMBL:AP009048 PIR:H64998 RefSeq:NP_416777.2 RefSeq:YP_490514.1 ProteinModelPortal:P76485 STRING:511145.b2274 EnsemblBacteria:AAC75334 EnsemblBacteria:BAE76682 GeneID:12932781 GeneID:946752 KEGG:ecj:Y75_p2238 KEGG:eco:b2274 PATRIC:32119915 EchoBASE:EB3852 EcoGene:EG14099 eggNOG:NOG300504 HOGENOM:HOG000009755 OrthoDB:EOG6QK4S5 ProtClustDB:CLSK891771 BioCyc:EcoCyc:G7181-MONOMER BioCyc:ECOL316407:JW2269-MONOMER Genevestigator:P76485
72283	30	72283_637002245 P76484 EMBL:U00096 EMBL:AP009048 PIR:G64998 RefSeq:NP_416776.1 RefSeq:YP_490513.1 ProteinModelPortal:P76484 DIP:DIP-11967N IntAct:P76484 STRING:511145.b2273 PRIDE:P76484 EnsemblBacteria:AAC75333 EnsemblBacteria:BAE76681 GeneID:12932779 GeneID:946748 KEGG:ecj:Y75_p2237 KEGG:eco:b2273 PATRIC:32119913 EchoBASE:EB3851 EcoGene:EG14098 eggNOG:NOG81096 HOGENOM:HOG000009754 OMA:LAMRINQ OrthoDB:EOG65F8S4 ProtClustDB:CLSK891770 BioCyc:EcoCyc:G7180-MONOMER BioCyc:ECOL316407:JW2268-MONOMER PRO:PR:P76484 Genevestigator:P76484
80195	16	80195_642152540 Q9PR84 EMBL:AF222894 RefSeq:NP_077891.1 STRING:273119.UU061 EnsemblBacteria:AAF30466 GeneID:875775 KEGG:uur:UU061 PATRIC:20533642 eggNOG:NOG296326 HOGENOM:HOG000048767 OMA:INDHRIN OrthoDB:EOG6S7XSC ProtClustDB:CLSK2298754 BioCyc:UPAR273119:GHVP-62-MONOMER GO:GO:0016021
92245	6	92245_644452022 P68924 EMBL:J02459 PIR:E43010 RefSeq:NP_040627.1 GeneID:2703538
87968	25	87968_641759752 Q9KHT8 EMBL:AF249729 PIR:AC1253 RefSeq:YP_007603775.1 RefSeq:YP_008271878.1 RefSeq:YP_008296600.1 ProteinModelPortal:Q9KHT8 STRING:169963.lmo1427 GeneID:14825984 GeneID:16307217 GeneID:16333740 KEGG:lmoe:BN418_1674 PATRIC:20311979 HOGENOM:HOG000012907 KO:K05846 ProtClustDB:CLSK885988 BioCyc:LMON169963:LMO1427-MONOMER GO:GO:0016021 GO:GO:0005886 GO:GO:0005215 GO:GO:0006950 InterPro:IPR000515 Pfam:PF00528 PROSITE:PS50928
110453	45	110453_645252060 Q9JZG2 EMBL:AE002098 PIR:F81125 RefSeq:NP_274102.1 ProteinModelPortal:Q9JZG2 STRING:122586.NMB1069 DNASU:903487 EnsemblBacteria:AAF41464 GeneID:903487 KEGG:nme:NMB1069 PATRIC:20357687 eggNOG:COG0263 HOGENOM:HOG000246369 KO:K00931 OMA:PPTIASK OrthoDB:EOG6PGK7G ProtClustDB:PRK05429 BioCyc:NMEN122586:GHGG-1106-MONOMER UniPathway:UPA00098 GO:GO:0005737 GO:GO:0005524 GO:GO:0004349 GO:GO:0003723 GO:GO:0055129 Gene3D:2.30.130.10 Gene3D:3.40.1160.10 HAMAP:MF_00456 InterPro:IPR001048 InterPro:IPR001057 InterPro:IPR011529 InterPro:IPR005715 InterPro:IPR019797 InterPro:IPR002478 InterPro:IPR015947 Pfam:PF00696 Pfam:PF01472 PIRSF:PIRSF000729 PRINTS:PR00474 SMART:SM00359 SUPFAM:SSF53633 SUPFAM:SSF88697 TIGRFAMs:TIGR01027 PROSITE:PS00902 PROSITE:PS50890
105286	40	105286_643221342 Q8X5D9 EMBL:AE005174 EMBL:BA000007 PIR:A91009 PIR:C85853 RefSeq:NP_288732.1 RefSeq:NP_311068.1 ProteinModelPortal:Q8X5D9 SMR:Q8X5D9 STRING:155864.Z3404 EnsemblBacteria:AAG57287 EnsemblBacteria:BAB36464 GeneID:916745 GeneID:957113 KEGG:ece:Z3404 KEGG:ecs:ECs3041 PATRIC:18355446 eggNOG:COG1129 KO:K10542 OMA:MDQIIAM OrthoDB:EOG6QK4RR ProtClustDB:PRK10982 BioCyc:ECOL386585:GJFA-2990-MONOMER BioCyc:ECOO157:MGLA-MONOMER GO:GO:0005886 GO:GO:0005524 GO:GO:0015407 GO:GO:0006200 InterPro:IPR003593 InterPro:IPR003439 InterPro:IPR017871 InterPro:IPR015862 InterPro:IPR027417 Pfam:PF00005 SMART:SM00382 SUPFAM:SSF52540 PROSITE:PS00211 PROSITE:PS50893 PROSITE:PS51260
153932	31	153932_643272160 A9N3N1 EMBL:CP000886 RefSeq:YP_001589967.1 ProteinModelPortal:A9N3N1 STRING:272994.SPAB_03802 PRIDE:A9N3N1 EnsemblBacteria:ABX69134 KEGG:spq:SPAB_03802 PATRIC:18534460 eggNOG:COG1003 HOGENOM:HOG000239369 KO:K00281 OMA:QTMVCDL OrthoDB:EOG6HMXDX ProtClustDB:PRK05367 BioCyc:SENT28901:GH9O-3792-MONOMER GO:GO:0004375 GO:GO:0030170 GO:GO:0019464 Gene3D:3.40.640.10 HAMAP:MF_00711 InterPro:IPR020580 InterPro:IPR020581 InterPro:IPR003437 InterPro:IPR015424 InterPro:IPR015421 PANTHER:PTHR11773 Pfam:PF02347 SUPFAM:SSF53383 TIGRFAMs:TIGR00461
144623	15	144623_642152570 Q9PR55 EMBL:AF222894 RefSeq:NP_077920.1 STRING:273119.UU089.1 EnsemblBacteria:AAF30495 GeneID:876122 KEGG:uur:UU089.1 PATRIC:20533702 eggNOG:NOG84058 HOGENOM:HOG000039945 OMA:SSFCEET OrthoDB:EOG6XQ3P7 ProtClustDB:CLSK2517132 BioCyc:UPAR273119:GHVP-90-MONOMER
5472	21	5472_640235668 A1RMY9 EMBL:CP000503 RefSeq:YP_964588.1 STRING:351745.Sputw3181_3219 EnsemblBacteria:ABM26034 GeneID:4660476 KEGG:shw:Sputw3181_3219 PATRIC:23600303 eggNOG:NOG44148 HOGENOM:HOG000295818 OMA:CGDDVYS OrthoDB:EOG6RZB1V ProtClustDB:CLSK905603 BioCyc:SSP351745:GCOY-3323-MONOMER GO:GO:0003677 GO:GO:0004803 GO:GO:0006313 Gene3D:3.30.70.1290 InterPro:IPR002686 SUPFAM:SSF143422
5580	25	5580_645095697 Q81WF8 EMBL:AE016879 EMBL:AE017334 EMBL:AE017225 RefSeq:NP_846260.1 RefSeq:YP_020659.1 RefSeq:YP_029981.1 STRING:198094.BA_4018 DNASU:1086669 EnsemblBacteria:AAP27746 EnsemblBacteria:AAT33134 EnsemblBacteria:AAT56032 GeneID:1086669 GeneID:2815332 GeneID:2852986 KEGG:ban:BA_4018 KEGG:bar:GBAA_4018 KEGG:bat:BAS3730 HOGENOM:HOG000055430 OMA:FFYLGDS OrthoDB:EOG6GXTNZ ProtClustDB:CLSK886993 BioCyc:BANT260799:GJAJ-3788-MONOMER BioCyc:BANT261594:GJ7F-3906-MONOMER
5790	27	5790_642671284 A9ACP4 EMBL:CP000868 EMBL:AP009385 RefSeq:YP_001580232.1 RefSeq:YP_001945670.1 STRING:395019.Bmul_2050 EnsemblBacteria:ABX15735 EnsemblBacteria:BAG43134 GeneID:5765783 GeneID:6359682 KEGG:bmj:BMULJ_01194 KEGG:bmu:Bmul_2050 PATRIC:19164142 eggNOG:NOG04040 HOGENOM:HOG000258527 KO:K13929 OMA:FREHMQP OrthoDB:EOG68M4BN ProtClustDB:CLSK865686 BioCyc:BMUL395019:GIYO-1194-MONOMER GO:GO:0008410 InterPro:IPR004165 InterPro:IPR005777 PANTHER:PTHR13707 PANTHER:PTHR13707:SF12 TIGRFAMs:TIGR01110
6682	15	6682_644703615 A0RCU8 EMBL:CP000485 RefSeq:YP_894548.1 STRING:412694.BALH_1717 EnsemblBacteria:ABK85041 GeneID:4545469 KEGG:btl:BALH_1717 PATRIC:18995876 eggNOG:NOG39602 HOGENOM:HOG000176623 OMA:IEDITLY OrthoDB:EOG6GXTRD ProtClustDB:CLSK903843 BioCyc:BTHU412694:GH1W-1733-MONOMER
6845	22	6845_642671381 A9ACE1 EMBL:CP000868 EMBL:AP009385 RefSeq:YP_001580132.1 RefSeq:YP_001945765.1 STRING:395019.Bmul_1948 EnsemblBacteria:ABX15635 EnsemblBacteria:BAG43229 GeneID:5766822 GeneID:6357895 KEGG:bmj:BMULJ_01293 KEGG:bmu:Bmul_1948 PATRIC:19164348 eggNOG:NOG20103 HOGENOM:HOG000219651 OMA:DYAWRDI OrthoDB:EOG6X10W8 ProtClustDB:CLSK929702 BioCyc:BMUL395019:GIYO-1293-MONOMER InterPro:IPR011220 PIRSF:PIRSF028205
7370	25	7370_645080883 Q81TA5 EMBL:AE016879 EMBL:AE017334 EMBL:AE017225 RefSeq:NP_843839.1 RefSeq:YP_018003.1 RefSeq:YP_027548.1 STRING:198094.BA_1381 DNASU:1084675 EnsemblBacteria:AAP25325 EnsemblBacteria:AAT30478 EnsemblBacteria:AAT53599 GeneID:1084675 GeneID:2815598 GeneID:2852542 KEGG:ban:BA_1381 KEGG:bar:GBAA_1381 KEGG:bat:BAS1279 HOGENOM:HOG000086276 OMA:FAHTFVH OrthoDB:EOG6G7R6M ProtClustDB:CLSK872704 BioCyc:BANT260799:GJAJ-1353-MONOMER BioCyc:BANT261594:GJ7F-1409-MONOMER
7632	21	7632_642833730 Q180X6 EMBL:AM180355 RefSeq:YP_001089998.1 ProteinModelPortal:Q180X6 STRING:272563.CD3478 EnsemblBacteria:CAJ70381 GeneID:4913612 KEGG:cdf:CD630_34780 PATRIC:19445527 eggNOG:COG1975 HOGENOM:HOG000262436 KO:K07402 OMA:VRRTVAF OrthoDB:EOG6Q2SHR ProtClustDB:CLSK913736 BioCyc:CDIF272563:GJFE-3736-MONOMER InterPro:IPR017695 InterPro:IPR011053 SUPFAM:SSF51230 TIGRFAMs:TIGR03309
7718	25	7718_642034174 Q81KW9 EMBL:AE016879 EMBL:AE017334 EMBL:AE017225 RefSeq:NP_847068.1 RefSeq:YP_021509.1 RefSeq:YP_030762.1 STRING:198094.BA_4867 DNASU:1084022 EnsemblBacteria:AAP28554 EnsemblBacteria:AAT33984 EnsemblBacteria:AAT56812 GeneID:1084022 GeneID:2817362 GeneID:2848056 KEGG:ban:BA_4867 KEGG:bar:GBAA_4867 KEGG:bat:BAS4514 HOGENOM:HOG000097743 OMA:VKPGKSH OrthoDB:EOG6D2KZN ProtClustDB:CLSK917437 BioCyc:BANT260799:GJAJ-4572-MONOMER BioCyc:BANT261594:GJ7F-4727-MONOMER
7858	16	7858_642243676 Q188C6 EMBL:AM180355 RefSeq:YP_001088570.1 ProteinModelPortal:Q188C6 STRING:272563.CD2056 EnsemblBacteria:CAJ68941 GeneID:4915071 KEGG:cdf:CD630_20560 PATRIC:19442553 eggNOG:NOG45848 HOGENOM:HOG000277164 OMA:PKFEVDD OrthoDB:EOG6SFP8G ProtClustDB:CLSK2519913 BioCyc:CDIF272563:GJFE-2264-MONOMER
8047	25	8047_642408623 Q81PJ3 EMBL:AE016879 EMBL:AE017334 EMBL:AE017225 RefSeq:NP_845158.1 RefSeq:YP_019453.1 RefSeq:YP_028879.1 STRING:198094.BA_2811 DNASU:1087228 EnsemblBacteria:AAP26644 EnsemblBacteria:AAT31928 EnsemblBacteria:AAT54930 GeneID:1087228 GeneID:2816173 GeneID:2853064 KEGG:ban:BA_2811 KEGG:bar:GBAA_2811 KEGG:bat:BAS2620 HOGENOM:HOG000091911 OMA:AAINIFD OrthoDB:EOG63FVZJ ProtClustDB:CLSK916811 BioCyc:BANT260799:GJAJ-2684-MONOMER BioCyc:BANT261594:GJ7F-2779-MONOMER
